ID,METER,FP1P,FP1S,FP2P,FP2S,FP3P,FP3S,FP4P,FP4S,SP1P,SP1S,SP2P,SP2S,SP3P,SP3S,SP4P,SP4S
200,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
201,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
203,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
204,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
206,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
207,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
209,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
210,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
212,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
213,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
215,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
